"","Assay","time_contrast","estimate","SE","df","t.ratio","p","q"
"1","CCL25","week24 - week0",0.0217316017315988,0.147910349608636,82,0.146924145532072,0.883552525684976,0.977262642045504
"2","CCL25","week52 - week0",0.0557370129870124,0.147910349608636,82,0.376829702143834,0.707273564131588,0.989292669723712
"3","CCL25","week52 - week24",0.0340054112554136,0.147910349608636,82,0.229905556611761,0.818737702385798,0.967117350714616
"4","CFD","week24 - week0",-0.187782900432902,0.211940377780657,82,-0.886017579091245,0.378199076764185,0.865582065676754
"5","CFD","week52 - week0",-0.549696103896105,0.211940377780657,82,-2.59363557644028,0.0112449116123966,0.264799531517726
"6","CFD","week52 - week24",-0.361913203463203,0.211940377780657,82,-1.70761799734903,0.0914909238321716,0.821359378462206
"7","CLU","week24 - week0",-0.067563636363637,0.267530430014436,82,-0.252545612699053,0.801251343053395,0.97244903805597
"8","CLU","week52 - week0",-0.143798701298702,0.267530430014436,82,-0.537504093612613,0.592375176326846,0.989292669723712
"9","CLU","week52 - week24",-0.0762350649350652,0.267530430014436,82,-0.28495848091356,0.776394419147624,0.954154757538326
"10","AMY1A_AMY1B_AMY1C","week24 - week0",0.0740469696969687,0.220410406377982,82,0.335950424999378,0.737766358557908,0.962012827338402
"11","AMY1A_AMY1B_AMY1C","week52 - week0",-0.101844155844157,0.220410406377982,82,-0.462066004585574,0.645257612666278,0.989292669723712
"12","AMY1A_AMY1B_AMY1C","week52 - week24",-0.175891125541125,0.220410406377982,82,-0.798016429584952,0.427165988948277,0.86141207716089
"13","SPINK2","week24 - week0",-0.0907904761904787,0.142755476463106,82,-0.635985942115102,0.526556719229954,0.925765055919488
"14","SPINK2","week52 - week0",-0.133441991341992,0.142755476463106,82,-0.934759174555935,0.352657021265475,0.922722672128303
"15","SPINK2","week52 - week24",-0.0426515151515135,0.142755476463106,82,-0.298773232440833,0.765868931638215,0.954091476599915
"16","CD200R1","week24 - week0",-0.37453484848485,0.180218473132888,82,-2.07822673211019,0.0408157507746927,0.664532756054073
"17","CD200R1","week52 - week0",-0.270899567099568,0.180218473132888,82,-1.50317313419815,0.136636091551994,0.712459620235395
"18","CD200R1","week52 - week24",0.103635281385281,0.180218473132888,82,0.57505359791204,0.566829588177052,0.910484685798641
"19","DNPH1","week24 - week0",-0.0590021645021646,0.358550723529348,82,-0.164557371189728,0.869697355908629,0.976902147976808
"20","DNPH1","week52 - week0",0.0366220779220778,0.358550723529348,82,0.102139182879323,0.918895558151534,0.989292669723712
"21","DNPH1","week52 - week24",0.0956242424242424,0.358550723529348,82,0.266696554069052,0.790372338900343,0.958466621415501
"22","GNPDA2","week24 - week0",-0.255986147186148,0.277478420662504,82,-0.922544342637378,0.358951253900609,0.865582065676754
"23","GNPDA2","week52 - week0",0.0632571428571438,0.277478420662504,82,0.227971395779577,0.820235979440564,0.989292669723712
"24","GNPDA2","week52 - week24",0.319243290043292,0.277478420662504,82,1.15051573841696,0.253275621588388,0.821359378462206
"25","NFATC3","week24 - week0",-0.349842424242426,0.33601426588808,82,-1.04115348590274,0.30086437071547,0.853267848645464
"26","NFATC3","week52 - week0",0.0160751082251073,0.33601426588808,82,0.0478405527890937,0.961959645192143,0.989292669723712
"27","NFATC3","week52 - week24",0.365917532467534,0.33601426588808,82,1.08899403869184,0.279346675488943,0.821359378462206
"28","ADGRE2","week24 - week0",-0.240598051948053,0.106486626049259,82,-2.2594203692467,0.0265103271710395,0.621118835388796
"29","ADGRE2","week52 - week0",-0.123337445887446,0.106486626049259,82,-1.15824353220086,0.250126939722193,0.86556206373234
"30","ADGRE2","week52 - week24",0.117260606060607,0.106486626049259,82,1.10117683704584,0.274041604567561,0.821359378462206
"31","RNF168","week24 - week0",-0.434077272727274,0.340598811991948,82,-1.27445327888441,0.206102659850539,0.836903694877573
"32","RNF168","week52 - week0",0.448560606060607,0.340598811991948,82,1.31697642583442,0.191515131964304,0.825497707840298
"33","RNF168","week52 - week24",0.882637878787881,0.340598811991948,82,2.59142970471884,0.0113116428258049,0.821359378462206
"34","CD6","week24 - week0",-0.205426190476191,0.180081432812987,82,-1.14074053758515,0.257298649786786,0.853267848645464
"35","CD6","week52 - week0",-0.0984612554112546,0.180081432812987,82,-0.546759617986301,0.586028708679736,0.989292669723712
"36","CD6","week52 - week24",0.106964935064936,0.180081432812987,82,0.593980919598848,0.554160026514569,0.908811914527359
"37","SIGLEC1","week24 - week0",-0.0209759740259768,0.170253418594389,82,-0.123204421967878,0.902246704840316,0.98451434160453
"38","SIGLEC1","week52 - week0",-0.148139826839828,0.170253418594388,82,-0.870113669745197,0.386778312685302,0.936009948666461
"39","SIGLEC1","week52 - week24",-0.127163852813852,0.170253418594388,82,-0.746909247777318,0.457254650007095,0.870095040906987
"40","FGF19","week24 - week0",-0.360617965367967,0.34986786456091,82,-1.03072617378149,0.305699862828559,0.853267848645464
"41","FGF19","week52 - week0",0.0780943722943711,0.34986786456091,82,0.223211046811575,0.823926368881277,0.989292669723712
"42","FGF19","week52 - week24",0.438712337662338,0.34986786456091,82,1.25393722059306,0.213427857309957,0.821359378462206
"43","MEPE","week24 - week0",-0.108235714285714,0.139480375324864,82,-0.775992422114024,0.439985892734825,0.872102028279009
"44","MEPE","week52 - week0",-0.116363203463204,0.139480375324864,82,-0.834262190592637,0.406557075815947,0.936315691338011
"45","MEPE","week52 - week24",-0.00812748917748983,0.139480375324864,82,-0.0582697684786128,0.953675513231302,0.984700317763579
"46","CTSC","week24 - week0",-0.383322943722942,0.177558174188365,82,-2.15885833178421,0.0337839465137846,0.664532756054073
"47","CTSC","week52 - week0",-0.283899134199134,0.177558174188364,82,-1.59890771290516,0.113687436303722,0.668702665676293
"48","CTSC","week52 - week24",0.0994238095238079,0.177558174188365,82,0.559950618879045,0.577039629809281,0.910484685798641
"49","ZNF174","week24 - week0",-0.224607792207792,0.287537425227094,82,-0.781142809602609,0.43696793633821,0.87154806974561
"50","ZNF174","week52 - week0",0.162695238095238,0.287537425227094,82,0.565822824513168,0.573059376008687,0.989292669723712
"51","ZNF174","week52 - week24",0.38730303030303,0.287537425227094,82,1.34696563411578,0.181702099475856,0.821359378462206
"52","FSTL3","week24 - week0",-0.164682034632036,0.129108881844042,82,-1.27552831594471,0.205724012190296,0.836903694877573
"53","FSTL3","week52 - week0",-0.226961688311689,0.129108881844042,82,-1.75790917766486,0.0824946404581155,0.590402818964944
"54","FSTL3","week52 - week24",-0.0622796536796534,0.129108881844042,82,-0.482380861720144,0.630820602654009,0.920041313064554
"55","CD58","week24 - week0",-0.239079437229438,0.0997438863211186,82,-2.39693324621158,0.0188068431212864,0.566092169081432
